attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
19800,BOS,117,Celtics,2015-04-04,21401140,TOR,116,Raptors,no,0,2015,1,2,0,1,0,2,18,home,2.0,0.0,True,0.0,-1.0,Pre-COVID,-1,0.3333333333333333,NWG < 0,-2.0,0.0,True,True,True
14090,ORL,97,Magic,2015-04-04,21401143,MIL,90,Bucks,no,0,2015,0,1,0,0,0,1,11,home,8.5,0.0,True,0.0,-7.0,Pre-COVID,-1,0.0,NWG < 0,-8.5,0.0,True,True,True
17286,PHI,91,76ers,2015-04-04,21401137,CHA,92,Hornets,no,0,2015,1,0,0,1,0,0,8,home,6.5,0.0,True,0.0,1.0,Pre-COVID,1,1.0,NWG > 0,-6.5,0.0,True,True,True
18055,UTA,85,Jazz,2015-04-04,21401145,PHX,87,Suns,no,0,2015,2,0,0,2,0,0,13,home,1.5,1.0,True,1.0,2.0,Pre-COVID,2,1.0,NWG > 0,-1.5,1.0,True,True,True
20562,CHI,94,Bulls,2015-04-05,21401148,CLE,99,Cavaliers,ABC,0,2015,1,1,0,1,0,1,13,home,8.0,0.0,True,0.0,5.0,Pre-COVID,0,0.5,NWG = 0,-8.0,0.0,True,True,True
18203,HOU,115,Rockets,2015-04-05,21401147,OKC,112,Thunder,ABC,0,2015,2,1,0,2,0,1,19,away,1.0,1.0,False,0.0,-3.0,Pre-COVID,1,0.6666666666666666,NWG > 0,1.0,0.0,True,True,True
19812,PHI,91,76ers,2015-04-05,21401151,NYK,101,Knicks,no,0,2015,0,0,0,0,0,0,11,away,0.0,0.0,False,1.0,10.0,Pre-COVID,0,,NWG = 0,0.0,1.0,True,True,True
18097,GSW,100,Warriors,2015-04-07,21401156,NOP,103,Pelicans,no,0,2015,2,0,0,2,0,1,18,away,4.5,0.0,False,1.0,3.0,Pre-COVID,2,1.0,NWG > 0,4.5,1.0,True,True,True
17732,ATL,114,Hawks,2015-04-08,21401163,BKN,111,Nets,no,0,2015,0,0,0,0,0,0,7,home,4.5,0.0,True,0.0,-3.0,Pre-COVID,0,,NWG = 0,-4.5,0.0,True,True,True
18249,CHI,103,Bulls,2015-04-08,21401161,ORL,105,Magic,no,0,2015,1,0,0,1,0,0,10,away,7.5,0.0,False,1.0,2.0,Pre-COVID,1,1.0,NWG > 0,7.5,1.0,True,True,True
14629,CLE,104,Cavaliers,2015-04-08,21401167,MIL,99,Bucks,no,0,2015,0,0,0,0,0,0,4,away,6.5,0.0,False,1.0,-5.0,Pre-COVID,0,,NWG = 0,6.5,1.0,True,True,True
20262,PHX,104,Suns,2015-04-08,21401171,DAL,107,Mavericks,no,0,2015,0,1,1,0,0,0,8,home,8.5,0.0,True,0.0,3.0,Pre-COVID,-1,0.0,NWG < 0,-8.5,0.0,True,True,True
19596,POR,105,Trail Blazers,2015-04-09,21401174,GSW,116,Warriors,TNT,0,2015,0,0,0,0,0,0,6,home,10.5,1.0,True,1.0,11.0,Pre-COVID,0,,NWG = 0,-10.5,1.0,True,True,True
14041,DAL,144,Mavericks,2015-04-10,21401184,DEN,143,Nuggets,no,0,2015,2,0,0,1,1,1,22,home,1.5,0.0,True,0.0,-1.0,Pre-COVID,2,1.0,NWG > 0,-1.5,0.0,True,True,True
18561,IND,107,Pacers,2015-04-10,21401179,DET,103,Pistons,no,0,2015,0,0,0,0,0,0,9,away,5.5,0.0,False,1.0,-4.0,Pre-COVID,0,,NWG = 0,5.5,1.0,True,True,True
18873,MEM,89,Grizzlies,2015-04-10,21401185,UTA,88,Jazz,no,0,2015,0,0,0,0,1,0,8,away,2.5,0.0,False,1.0,-1.0,Pre-COVID,0,,NWG = 0,2.5,1.0,True,True,True
18457,SAS,104,Spurs,2015-04-10,21401181,HOU,103,Rockets,NBATV,0,2015,1,0,0,1,0,0,7,away,3.5,0.0,False,1.0,-1.0,Pre-COVID,1,1.0,NWG > 0,3.5,1.0,True,True,True
16227,TOR,101,Raptors,2015-04-10,21401175,ORL,99,Magic,no,0,2015,0,1,0,0,0,1,10,away,5.0,0.0,False,1.0,-2.0,Pre-COVID,-1,0.0,NWG < 0,5.0,1.0,True,True,True
17207,NYK,80,Knicks,2015-04-11,21401187,ORL,79,Magic,no,0,2015,2,1,0,2,0,1,14,home,11.0,0.0,True,0.0,-1.0,Pre-COVID,1,0.6666666666666666,NWG > 0,-11.0,0.0,True,True,True
22273,PHI,107,76ers,2015-04-11,21401189,CHI,114,Bulls,no,0,2015,1,0,0,1,0,0,7,home,15.5,0.0,True,0.0,7.0,Pre-COVID,1,1.0,NWG > 0,-15.5,0.0,True,True,True
19689,TOR,107,Raptors,2015-04-11,21401188,MIA,104,Heat,NBATV,0,2015,0,1,1,0,0,0,9,home,3.5,0.0,True,0.0,-3.0,Pre-COVID,-1,0.0,NWG < 0,-3.5,0.0,True,True,True
19908,UTA,111,Jazz,2015-04-11,21401191,POR,105,Trail Blazers,no,0,2015,1,0,0,1,0,0,9,home,10.0,0.0,True,0.0,-6.0,Pre-COVID,1,1.0,NWG > 0,-10.0,0.0,True,True,True
18165,OKC,104,Thunder,2015-04-12,21401197,IND,116,Pacers,no,0,2015,1,1,1,1,0,0,14,home,2.5,1.0,True,1.0,12.0,Pre-COVID,0,0.5,NWG = 0,-2.5,1.0,True,True,True
19060,DEN,103,Nuggets,2015-04-13,21401213,LAC,110,Clippers,no,0,2015,1,1,0,1,0,2,15,home,18.0,0.0,True,0.0,7.0,Pre-COVID,0,0.5,NWG = 0,-18.0,0.0,True,True,True
18265,NYK,112,Knicks,2015-04-13,21401205,ATL,108,Hawks,no,0,2015,0,0,0,0,0,0,15,home,14.5,0.0,True,0.0,-4.0,Pre-COVID,0,,NWG = 0,-14.5,0.0,True,True,True
18624,TOR,93,Raptors,2015-04-14,21401214,BOS,95,Celtics,no,0,2015,0,0,0,0,0,0,10,away,0.0,0.0,False,1.0,2.0,Pre-COVID,0,,NWG = 0,0.0,1.0,True,True,True
18165,WAS,95,Wizards,2015-04-14,21401215,IND,99,Pacers,TNT,0,2015,4,2,0,4,0,2,43,home,7.5,0.0,True,0.0,4.0,Pre-COVID,2,0.6666666666666666,NWG > 0,-7.5,0.0,True,True,True
22172,ATL,85,Hawks,2015-04-15,21401217,CHI,91,Bulls,no,0,2015,0,0,0,0,0,0,7,home,5.0,1.0,True,1.0,6.0,Pre-COVID,0,,NWG = 0,-5.0,1.0,True,True,True
19596,DEN,126,Nuggets,2015-04-15,21401229,GSW,133,Warriors,ESPN,0,2015,1,0,0,0,1,0,6,home,11.5,0.0,True,0.0,7.0,Pre-COVID,1,1.0,NWG > 0,-11.5,0.0,True,True,True
14476,MIA,105,Heat,2015-04-15,21401227,PHI,101,76ers,no,0,2015,1,0,0,1,0,0,10,home,2.0,0.0,True,0.0,-4.0,Pre-COVID,1,1.0,NWG > 0,-2.0,0.0,True,True,True
20562,WAS,108,Wizards,2015-04-15,21401225,CLE,113,Cavaliers,no,0,2015,2,0,0,2,0,1,20,home,8.0,0.0,True,0.0,5.0,Pre-COVID,2,1.0,NWG > 0,-8.0,0.0,True,True,True
19800,WAS,93,Wizards,2015-04-18,41400131,TOR,86,Raptors,no,1,2015,4,1,0,4,0,1,28,home,4.0,0.0,True,0.0,-7.0,Pre-COVID,3,0.8,NWG > 0,-4.0,0.0,True,True,True
18207,BKN,91,Nets,2015-04-22,41400102,ATL,96,Hawks,no,1,2015,1,0,0,0,1,1,6,home,9.0,0.0,True,0.0,5.0,Pre-COVID,1,1.0,NWG > 0,-9.0,0.0,True,True,True
